x,y,timestamp,pressure,fingerarea,velocityx,velocityy,accelx,accely,accelz,gyrox,gyroy,gyroz
338.3677,202.45508,76815943,1.125,0.10638297,0.0,0.0,-0.039775804,-0.04025586,-0.13183689,0.0,0.0,0.0
338.3677,202.45508,76815964,1.1375,0.10638297,-0.026334345,-0.01436317,-0.039775804,-0.04025586,-0.13183689,0.0,0.0,0.0
332.52145,214.79578,76815981,1.0625,0.08510638,-432.21082,912.2829,-0.039775804,-0.04025586,-0.13183689,0.0,0.0,0.0
315.7017,251.87024,76815997,0.95,0.12765957,-1168.118,2559.7039,-0.039775804,-0.04025586,-0.13183689,0.0,0.0,0.0
295.00867,295.15845,76816014,0.96250004,0.12765957,-1581.8109,3387.3938,-0.039775804,-0.04025586,-0.13183689,0.0,0.0,0.0
271.67957,346.67188,76816031,0.975,0.08510638,-1819.9833,3932.7666,-0.039775804,-0.04025586,-0.13183689,0.0,0.0,0.0
249.41507,394.4342,76816048,0.95,0.10638297,-1755.3818,3804.295,-0.039775804,-0.04025586,-0.13183689,0.0,0.0,0.0
223.82446,443.25488,76816064,0.96250004,0.12765957,-1675.0996,3453.2898,-0.039775804,-0.04025586,-0.13183689,0.0,0.0,0.0
204.91376,475.9048,76816081,0.975,0.08510638,-1444.8428,2652.617,-0.039775804,-0.04025586,-0.13183689,0.0,0.0,0.0
179.31485,509.1963,76816098,1.0125,0.09574468,-1365.2999,1900.0105,-0.039775804,-0.04025586,-0.13183689,0.0,0.0,0.0
159.52815,532.3208,76816114,1.025,0.09574468,-1290.5117,1269.4497,-0.039775804,-0.04025586,-0.13183689,0.0,0.0,0.0
144.31134,544.3357,76816131,1.0375,0.09574468,-1051.5027,662.0788,-0.039775804,-0.04025586,-0.13183689,0.0,0.0,0.0
132.32166,548.0829,76816148,1.0625,0.09574468,-753.21277,92.281784,-0.039775804,-0.04025586,-0.13183689,0.0,0.0,0.0
123.08093,544.73535,76816165,1.075,0.09574468,-415.17798,-529.3487,-0.039775804,-0.04025586,-0.13183689,0.0,0.0,0.0
115.56186,532.8822,76816181,1.0500001,0.10638297,-232.29059,-1003.8798,-0.039775804,-0.04025586,-0.13183689,0.0,0.0,0.0
110.810165,497.06592,76816198,1.0,0.10638297,-209.01427,-1798.8838,-0.039775804,-0.04025586,-0.13183689,0.0,0.0,0.0
117.679825,459.2671,76816215,1.0500001,0.12765957,148.782,-2795.637,-0.039775804,-0.04025586,-0.13183689,0.0,0.0,0.0
126.67026,440.97974,76816231,1.0500001,0.08510638,653.5195,-2801.766,1.7936528E-4,-2.0468235E-4,0.06253052,0.0,0.0,0.0
135.47559,431.65588,76816248,1.0375,0.09574468,920.05536,-1469.6104,1.7936528E-4,-2.0468235E-4,0.06253052,0.0,0.0,0.0
145.41023,429.02344,76816265,1.0500001,0.09574468,928.79517,-98.14435,1.7936528E-4,-2.0468235E-4,0.06253052,0.0,0.0,0.0
155.23093,433.8944,76816281,1.0375,0.10638297,740.1746,821.4955,1.7936528E-4,-2.0468235E-4,0.06253052,0.0,0.0,0.0
165.30817,444.28687,76816298,1.0,0.10638297,635.0016,1054.6548,1.7936528E-4,-2.0468235E-4,0.06253052,0.0,0.0,0.0
178.3772,464.17163,76816315,1.025,0.08510638,716.66345,1318.9657,1.7936528E-4,-2.0468235E-4,0.06253052,0.0,0.0,0.0
192.5079,500.43323,76816332,1.0,0.12765957,859.8297,2087.053,1.7936528E-4,-2.0468235E-4,0.06253052,0.0,0.0,0.0
199.84766,525.6388,76816348,0.9875,0.09574468,740.5886,2386.336,1.7936528E-4,-2.0468235E-4,0.06253052,0.0,0.0,0.0
205.75131,543.2622,76816365,0.96250004,0.09574468,427.55276,1878.8542,1.7936528E-4,-2.0468235E-4,0.06253052,0.0,0.0,0.0
210.79138,552.0896,76816382,0.95,0.12765957,156.6967,895.11786,1.7936528E-4,-2.0468235E-4,0.06253052,0.0,0.0,0.0
219.58191,560.23145,76816398,0.975,0.10638297,170.78091,50.105255,1.7936528E-4,-2.0468235E-4,0.06253052,0.0,0.0,0.0
234.21198,564.0759,76816415,1.0125,0.10638297,609.30615,-97.94581,1.7936528E-4,-2.0468235E-4,0.06253052,0.0,0.0,0.0
255.93723,558.41943,76816432,0.9875,0.12765957,1138.1667,-318.78464,1.7936528E-4,-2.0468235E-4,0.06253052,0.0,0.0,0.0
280.89288,539.59985,76816449,1.0,0.08510638,1667.9772,-898.72015,1.7936528E-4,-2.0468235E-4,0.06253052,0.0,0.0,0.0
302.92496,518.1803,76816465,0.975,0.12765957,1780.3849,-1577.5426,1.7936528E-4,-2.0468235E-4,0.06253052,0.0,0.0,0.0
329.71497,490.23425,76816482,0.975,0.08510638,1734.872,-2081.5132,1.7936528E-4,-2.0468235E-4,0.06253052,0.0,0.0,0.0
354.0224,467.00366,76816499,0.9375,0.12765957,1637.6559,-2067.6453,1.7936528E-4,-2.0468235E-4,0.06253052,0.0,0.0,0.0
380.81726,445.0808,76816515,0.96250004,0.08510638,1569.036,-1702.1602,1.7936528E-4,-2.0468235E-4,0.06253052,0.0,0.0,0.0
402.54318,430.28674,76816532,0.96250004,0.08510638,1489.9731,-1195.5634,1.7936528E-4,-2.0468235E-4,0.06253052,0.0,0.0,0.0
416.1581,420.8794,76816549,0.9375,0.11702127,1170.6301,-675.9271,1.7936528E-4,-2.0468235E-4,0.06253052,0.0,0.0,0.0
428.06802,413.4845,76816566,0.9375,0.12765957,683.07623,-265.48593,1.7936528E-4,-2.0468235E-4,0.06253052,0.0,0.0,0.0
436.79282,409.37122,76816582,0.95,0.12765957,349.78076,-59.049026,1.7936528E-4,-2.0468235E-4,0.06253052,0.0,0.0,0.0
441.51285,406.20776,76816599,0.96250004,0.12765957,102.12436,44.135693,1.7936528E-4,-2.0468235E-4,0.06253052,0.0,0.0,0.0
443.20724,405.0338,76816616,1.0,0.12765957,-51.6409,75.129,1.7936528E-4,-2.0468235E-4,0.06253052,0.0,0.0,0.0
443.33353,405.0338,76816632,1.0125,0.12765957,-179.10626,111.95235,1.7936528E-4,-2.0468235E-4,0.06253052,0.0,0.0,0.0
441.47992,405.0338,76816649,1.025,0.12765957,-259.43582,110.352234,1.7936528E-4,-2.0468235E-4,0.06253052,0.0,0.0,0.0
431.38333,407.6858,76816666,0.9875,0.12765957,-468.67725,157.14938,1.7936528E-4,-2.0468235E-4,0.06253052,0.0,0.0,0.0
411.18625,414.14148,76816683,0.9875,0.09574468,-1044.4998,324.82443,1.7936528E-4,-2.0468235E-4,0.06253052,0.0,0.0,0.0
387.70193,425.41846,76816699,0.9875,0.09574468,-1624.8341,614.1428,1.7936528E-4,-2.0468235E-4,0.06253052,0.0,0.0,0.0
366.26083,440.36658,76816716,1.0,0.10638297,-1842.543,953.88367,1.7936528E-4,-2.0468235E-4,0.06253052,0.0,0.0,0.0
346.99924,457.61914,76816733,1.0125,0.10638297,-1654.8041,1203.3822,1.7936528E-4,-2.0468235E-4,0.06253052,0.0,0.0,0.0
331.47375,480.3722,76816749,1.0,0.10638297,-1189.2832,1396.5042,1.7936528E-4,-2.0468235E-4,0.06253052,0.0,0.0,0.0
319.7683,504.14673,76816766,1.0,0.12765957,-723.1029,1621.8129,0.016143486,0.015836254,0.03402424,0.0,0.0,0.0
314.324,528.1968,76816783,0.9875,0.09574468,-362.71515,1692.7812,0.016143486,0.015836254,0.03402424,0.0,0.0,0.0
314.18848,546.3114,76816799,0.95,0.11702127,68.95291,1477.6752,0.016143486,0.015836254,0.03402424,0.0,0.0,0.0
316.75116,559.1942,76816816,0.925,0.12765957,399.28094,952.78467,0.016143486,0.015836254,0.03402424,0.0,0.0,0.0
320.51593,567.2063,76816833,0.925,0.10638297,552.5639,451.57257,0.016143486,0.015836254,0.03402424,0.0,0.0,0.0
326.35065,572.28064,76816850,0.975,0.09574468,494.70093,114.901825,0.016143486,0.015836254,0.03402424,0.0,0.0,0.0
339.01602,575.5819,76816866,1.0125,0.09574468,655.50085,-73.94936,0.016143486,0.015836254,0.03402424,0.0,0.0,0.0
358.12357,567.4901,76816883,0.975,0.12765957,1075.9836,-355.37216,0.016143486,0.015836254,0.03402424,0.0,0.0,0.0
385.23715,540.38696,76816900,0.975,0.08510638,1617.4913,-1197.4625,0.016143486,0.015836254,0.03402424,0.0,0.0,0.0
408.05365,507.16052,76816916,0.96250004,0.09574468,1913.1853,-2200.6458,0.016143486,0.015836254,0.03402424,0.0,0.0,0.0
430.2315,464.30212,76816933,0.95,0.12765957,1784.3801,-3078.1436,0.016143486,0.015836254,0.03402424,0.0,0.0,0.0
440.1094,441.99597,76816950,0.975,0.08510638,1199.6592,-2844.5571,0.016143486,0.015836254,0.03402424,0.0,0.0,0.0
444.9577,429.3202,76816967,0.975,0.08510638,423.87283,-1725.881,0.016143486,0.015836254,0.03402424,0.0,0.0,0.0
446.8324,424.14233,76816983,1.0,0.09574468,-212.94998,-179.54448,0.016143486,0.015836254,0.03402424,0.0,0.0,0.0
446.8324,422.80396,76817000,1.075,0.10638297,-386.29398,541.91266,0.016143486,0.015836254,0.03402424,0.0,0.0,0.0
446.8324,425.41858,76817017,1.0875,0.08510638,-325.32043,668.21344,0.016143486,0.015836254,0.03402424,0.0,0.0,0.0
444.0155,437.50342,76817033,0.96250004,0.08510638,-224.92903,772.4354,0.016143486,0.015836254,0.03402424,0.0,0.0,0.0
435.2251,467.79932,76817050,0.9375,0.10638297,-398.85538,1477.4221,0.016143486,0.015836254,0.03402424,0.0,0.0,0.0
426.68002,497.01355,76817067,0.925,0.09574468,-639.30054,2258.6482,0.016143486,0.015836254,0.03402424,0.0,0.0,0.0
422.36478,522.0775,76817084,0.9375,0.11702127,-667.78436,2481.534,0.016143486,0.015836254,0.03402424,0.0,0.0,0.0
421.84055,539.54004,76817100,0.8875,0.09574468,-299.40067,1765.1602,0.016143486,0.015836254,0.03402424,0.0,0.0,0.0
423.43237,548.41113,76817117,0.8875,0.11702127,108.032814,801.80707,0.016143486,0.015836254,0.03402424,0.0,0.0,0.0
424.94553,551.8252,76817134,0.9125,0.12765957,320.20966,25.096415,0.016143486,0.015836254,0.03402424,0.0,0.0,0.0
431.10437,555.44104,76817150,1.0,0.12765957,404.47562,-257.90088,0.016143486,0.015836254,0.03402424,0.0,0.0,0.0
448.04932,549.11743,76817167,0.96250004,0.08510638,692.6573,-434.8999,0.016143486,0.015836254,0.03402424,0.0,0.0,0.0
490.05957,510.98035,76817184,0.9375,0.12765957,1923.4028,-1480.862,0.016143486,0.015836254,0.03402424,0.0,0.0,0.0
524.29517,466.53528,76817201,0.90000004,0.12765957,2903.4202,-2974.0083,0.016143486,0.015836254,0.03402424,0.0,0.0,0.0
556.9237,416.55103,76817217,0.925,0.09574468,2987.8118,-3991.7805,0.016143486,0.015836254,0.03402424,0.0,0.0,0.0
590.1862,350.06848,76817234,0.90000004,0.11702127,2533.0693,-4640.0674,0.016143486,0.015836254,0.03402424,0.0,0.0,0.0
