x,y,timestamp,pressure,fingerarea,velocityx,velocityy,accelx,accely,accelz,gyrox,gyroy,gyroz
210.90921,301.07898,12921203,0.7,0.12765957,0.0,0.0,-0.0076765344,0.0026933998,0.019451141,0.0,0.0,0.0
210.90921,301.07898,12921224,0.7375,0.12765957,-7.2770513E-4,0.0028545202,-0.0076765344,0.0026933998,0.019451141,0.0,0.0,0.0
210.90921,301.07898,12921241,0.77500004,0.12765957,-0.0069155926,-0.010175622,-0.0076765344,0.0026933998,0.019451141,0.0,0.0,0.0
210.90921,301.07898,12921258,0.7875,0.12765957,0.010654491,0.015979841,-0.0076765344,0.0026933998,0.019451141,0.0,0.0,0.0
210.90921,301.07898,12921275,0.8125,0.11702127,0.005720354,0.008036342,-0.0076765344,0.0026933998,0.019451141,0.0,0.0,0.0
207.3078,321.19885,12921291,0.85,0.09574468,-105.317245,588.3803,-0.0076765344,0.0026933998,0.019451141,0.0,0.0,0.0
205.84164,334.81433,12921308,0.825,0.12765957,-184.92139,1191.558,-0.0076765344,0.0026933998,0.019451141,0.0,0.0,0.0
205.3017,349.72363,12921325,0.825,0.11702127,-154.2392,1392.0725,-0.0076765344,0.0026933998,0.019451141,0.0,0.0,0.0
206.05307,369.86255,12921341,0.85,0.09574468,-49.95226,1452.0842,-0.0076765344,0.0026933998,0.019451141,0.0,0.0,0.0
204.91116,390.15906,12921358,0.825,0.12765957,23.302628,1372.9551,-0.0061412305,0.0021547228,-4.386902E-4,0.0,0.0,0.0
204.41132,409.70264,12921375,0.825,0.09574468,25.4822,1205.4535,-0.0061412305,0.0021547228,-4.386902E-4,0.0,0.0,0.0
203.38474,432.34827,12921392,0.8125,0.09574468,-49.20642,1402.9504,-0.0061412305,0.0021547228,-4.386902E-4,0.0,0.0,0.0
201.34393,449.17798,12921408,0.8,0.12765957,-105.9118,1209.1505,-0.0061412305,0.0021547228,-4.386902E-4,0.0,0.0,0.0
199.23926,472.0559,12921425,0.8,0.08510638,-145.41412,1171.5498,-0.0061412305,0.0021547228,-4.386902E-4,0.0,0.0,0.0
198.91312,491.09363,12921442,0.75,0.08510638,-125.07148,1249.8802,-0.0061412305,0.0021547228,-4.386902E-4,0.0,0.0,0.0
198.91312,503.2329,12921458,0.5625,0.12765957,-36.55185,1009.1845,-0.0061412305,0.0021547228,-4.386902E-4,0.0,0.0,0.0
198.91312,503.6577,12921460,0.26250002,0.11702127,-26.73469,948.4759,-0.0061412305,0.0021547228,-4.386902E-4,0.0,0.0,0.0
198.91312,503.6577,12921467,0.26250002,0.11702127,-26.73469,948.4759,-0.0061412305,0.0021547228,-4.386902E-4,0.0,0.0,0.0
181.91864,322.40308,12921758,0.6625,0.06382979,0.0,0.0,-0.0061412305,0.0021547228,-4.386902E-4,0.0,0.0,0.0
183.41815,309.07544,12921776,0.75,0.10638297,-102.13364,907.8535,-0.0061412305,0.0021547228,-4.386902E-4,0.0,0.0,0.0
187.20517,283.9254,12921793,0.825,0.08510638,243.90176,-1495.9205,-0.0061412305,0.0021547228,-4.386902E-4,0.0,0.0,0.0
188.78,275.79712,12921809,0.83750004,0.08510638,126.48179,-643.86584,-0.0061412305,0.0021547228,-4.386902E-4,0.0,0.0,0.0
189.84021,273.15857,12921826,0.85,0.08510638,62.228477,-80.33562,-0.0061412305,0.0021547228,-4.386902E-4,0.0,0.0,0.0
193.18549,273.54993,12921843,0.8625,0.09574468,104.020836,255.46767,-0.0061412305,0.0021547228,-4.386902E-4,0.0,0.0,0.0
198.68472,279.71277,12921859,0.83750004,0.12765957,230.27924,594.94696,-0.0061412305,0.0021547228,-4.386902E-4,0.0,0.0,0.0
209.57227,299.2943,12921876,0.85,0.10638297,505.89948,978.2501,-0.0061412305,0.0021547228,-4.386902E-4,0.0,0.0,0.0
221.51569,321.9358,12921893,0.8125,0.08510638,843.0875,1659.5035,0.011087015,-0.014276221,-0.0163517,0.0,0.0,0.0
235.04807,335.49695,12921909,0.8,0.10638297,977.4959,1701.4902,0.011087015,-0.014276221,-0.0163517,0.0,0.0,0.0
248.70358,344.23657,12921926,0.8,0.12765957,1003.54047,1151.7684,0.011087015,-0.014276221,-0.0163517,0.0,0.0,0.0
264.24725,348.15356,12921943,0.8,0.12765957,980.2649,348.77316,0.011087015,-0.014276221,-0.0163517,0.0,0.0,0.0
284.4747,346.28784,12921960,0.8,0.10638297,1108.5326,-301.61572,0.011087015,-0.014276221,-0.0163517,0.0,0.0,0.0
301.453,338.6488,12921976,0.7875,0.09574468,1232.587,-585.12427,0.011087015,-0.014276221,-0.0163517,0.0,0.0,0.0
315.37094,324.3213,12921993,0.8125,0.08510638,1083.486,-980.59576,0.011087015,-0.014276221,-0.0163517,0.0,0.0,0.0
324.22412,309.6057,12922010,0.8,0.12765957,752.2695,-1234.4158,0.011087015,-0.014276221,-0.0163517,0.0,0.0,0.0
329.2152,299.2782,12922026,0.8,0.09574468,312.20758,-1150.6195,0.011087015,-0.014276221,-0.0163517,0.0,0.0,0.0
334.60043,285.2173,12922043,0.8125,0.08510638,86.41385,-932.0226,0.011087015,-0.014276221,-0.0163517,0.0,0.0,0.0
334.86884,279.6792,12922060,0.8,0.08510638,-52.968285,-553.66644,0.011087015,-0.014276221,-0.0163517,0.0,0.0,0.0
